appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
396710,The Adventure Pals,2018-04-03,Massive Monster,Armor Games Studios,1205,98,"200,000 - 500,000",418,0,793,0,14.99,10,1,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG
47700,Command & Conquer 4: Tiberian Twilight,2010-03-18,EA Los Angeles,Electronic Arts,531,2465,"200,000 - 500,000",514,0,312,0,0.0,5,1,Single-player;Multi-player,Strategy
244930,SNOW - The Ultimate Edition,2019-02-14,"Poppermost Productions, WastedStudios, Crytek",Crytek,7942,4153,"1,000,000 - 2,000,000",135,0,27,0,14.99,15,1,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;In-App Purchases;Steam Cloud;Steam Leaderboards,Free to Play;Indie;Simulation;Sports
308040,Back to Bed,2014-08-06,Bedtime Digital Games,Bedtime Digital Games,1957,451,"1,000,000 - 2,000,000",198,0,200,0,5.99,3,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Casual;Indie
825310,Dude Simulator 2,2018-07-27,Kiddy,Kiddy,887,785,"200,000 - 500,000",41,0,48,0,4.99,2,1,Single-player;Steam Trading Cards,Action;Adventure;Indie;Racing;Simulation
1044200,Wasteland Survival,2019-03-31,"Joyloft Co., Limited","Joyloft Co., Limited",3085,2132,"500,000 - 1,000,000",0,0,0,0,0.0,52,1,Single-player;In-App Purchases,Action;Adventure;Free to Play;RPG;Simulation;Early Access
281990,Stellaris,2016-05-09,Paradox Development Studio,Paradox Interactive,104170,14466,"2,000,000 - 5,000,000",5014,748,1255,558,39.99,17493,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Simulation;Strategy
104900,ORION: Prelude,2013-04-16,DANKIE,DANKIE,21868,7256,"2,000,000 - 5,000,000",282,0,133,0,0.99,5,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Indie;RPG
633230,NARUTO TO BORUTO: SHINOBI STRIKER,2018-08-30,Soleil Ltd.,BANDAI NAMCO Entertainment,32130,5374,"1,000,000 - 2,000,000",1360,264,423,357,49.99,1508,1,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support,Action
115320,Prototype 2,2012-07-26,Radical Entertainment,Activision,8732,2946,"500,000 - 1,000,000",571,1,525,1,39.99,95,1,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure
241260,Sherlock Holmes: Crimes and Punishments,2014-09-29,Frogwares,Frogwares,4731,470,"200,000 - 500,000",337,248,546,248,29.99,76,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure
206190,Gunpoint,2013-06-03,Suspicious Developments,Suspicious Developments,11628,307,"500,000 - 1,000,000",210,0,226,0,9.99,6,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor,Action;Indie;Strategy
449760,Tenrow,2016-04-08,Cleverweek,Cleverweek,131,27,"100,000 - 200,000",243,0,304,0,2.99,1,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie
688130,Pogostuck: Rage With Your Friends,2019-02-28,Hendrik Felix Pohl,Hendrik Felix Pohl,2827,528,"200,000 - 500,000",458,15,345,15,6.99,116,1,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie
418240,Shadow Tactics: Blades of the Shogun,2016-12-06,Mimimi Games,Daedalic Entertainment,28127,1114,"1,000,000 - 2,000,000",468,73,145,73,39.99,1687,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;Strategy
57680,The First Templar - Steam Special Edition,2011-05-12,Haemimont Games,Kalypso Media Digital,617,250,"100,000 - 200,000",119,0,72,0,9.99,1,1,Single-player;Local Co-op;Steam Achievements,Action;Adventure
407900,Princess Remedy in a World of Hurt,2016-01-01,"Ludosity, Remar Games",Ludosity,2643,64,"200,000 - 500,000",60,0,60,0,0.0,1,1,Single-player;Full controller support,Action;Adventure;Indie
22130,Hearts of Iron 2 Complete,2009-01-23,Paradox Development Studio,Paradox Interactive,388,66,"100,000 - 200,000",3,0,3,0,14.99,76,1,Single-player;Multi-player,Strategy
544610,Battlestar Galactica Deadlock,2017-08-31,Black Lab Games,Slitherine Ltd.,1828,317,"100,000 - 200,000",435,0,456,0,39.99,115,1,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Strategy
286690,Metro 2033 Redux,2014-08-27,4A Games,Deep Silver,53012,7416,"2,000,000 - 5,000,000",597,847,442,847,19.99,453,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action
343860,Tacoma,2017-08-01,Fullbright,Fullbright,3158,510,"100,000 - 200,000",201,0,216,0,19.99,7,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie
1020470,Evoland Legendary Edition,2019-02-07,Shiro Games,Shiro Unlimited,1285,283,"100,000 - 200,000",371,0,518,0,19.99,34,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Casual;Indie;RPG
234190,Receiver,2013-04-29,Wolfire Games,Wolfire Games,3182,812,"500,000 - 1,000,000",41,0,25,0,4.99,3,1,Single-player,Action;Indie;Simulation
21100,F.E.A.R. 3,2011-06-21,Day 1 Studios,Warner Bros. Interactive Entertainment,7184,2757,"1,000,000 - 2,000,000",528,0,282,0,19.99,50,1,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action
372800,RPG MO,2015-08-18,Marxnet,Marxnet,2075,540,"500,000 - 1,000,000",302,0,85,0,0.0,82,1,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Stats;Steam Leaderboards,Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access
99910,Puzzle Pirates,2011-08-31,"Grey Havens, LLC","Grey Havens, LLC",1333,320,"200,000 - 500,000",271,1,108,1,0.0,94,1,Single-player;Multi-player;MMO;Co-op;Steam Achievements,Adventure;Casual;Free to Play;Massively Multiplayer;Strategy
455910,STAR WARS: Rogue Squadron 3D,2016-03-29,"Factor 5, LucasArts","LucasArts, Lucasfilm, Disney",731,262,"100,000 - 200,000",89,0,98,0,9.99,3,1,Single-player;Partial Controller Support;Steam Cloud,Action;Simulation
306760,Obduction,2016-08-24,Cyan Inc.,Cyan Inc.,2575,640,"200,000 - 500,000",1186,0,1155,0,29.99,18,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie
893520,Creative Destruction,2018-08-02,NetEase Games,NetEase Games,14191,3863,"1,000,000 - 2,000,000",403,0,89,0,0.0,284,1,Online Multi-Player;In-App Purchases,Action;Adventure;Casual;Massively Multiplayer
8870,BioShock Infinite,2013-03-25,"Irrational Games, Virtual Programming (Linux)",2K,114216,5760,"2,000,000 - 5,000,000",835,292,600,292,29.99,609,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action
589870,Learn to Fly 3,2017-05-12,Light Bringer Games inc.,Light Bringer Games inc.,5018,381,"500,000 - 1,000,000",365,1,191,1,0.0,213,1,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Stats,Action;Casual;Free to Play;Indie;Simulation;Strategy
8330,Telltale Texas Hold ‘Em,2008-06-17,Telltale,Telltale,107,97,"100,000 - 200,000",4,0,4,0,0.99,1,1,Single-player,Casual
351790,Invisible Apartment,2015-03-02,"Milan Kazarka, Jeroen van Oosten",Vysoko Anime Production,288,119,"100,000 - 200,000",4,0,4,0,0.0,0,1,Single-player,Adventure;Free to Play;Indie
262390,Cloudbuilt,2014-03-20,Coilworks,"Coilworks, Rising Star Games",745,131,"200,000 - 500,000",204,0,347,0,19.99,2,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie
311560,Assassin’s Creed Rogue,2015-03-09,"Ubisoft Sofia, Ubisoft Kiev",Ubisoft,9241,1732,"500,000 - 1,000,000",1710,142,1674,225,19.99,178,1,Single-player;Partial Controller Support,Action;Adventure
310950,Street Fighter V,2016-02-15,Capcom,Capcom,22031,12732,"1,000,000 - 2,000,000",2158,425,386,473,19.99,3502,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Action
1500,Darwinia,2005-07-14,Introversion Software,Introversion Software,586,181,"500,000 - 1,000,000",142,0,36,0,9.99,5,1,Single-player,Indie;Strategy
